Ticker,Date,Open,High,Low,Close,Adj Close,Volume
TSLA,"Aug 31, 2022",280.62,281.25,271.81,275.61,275.61,"52,107,300"
TSLA,"Aug 30, 2022",287.87,288.48,272.65,277.70,277.70,"50,541,800"
TSLA,"Aug 29, 2022",282.83,287.74,280.70,284.82,284.82,"41,864,700"
TSLA,"Aug 26, 2022",297.43,302.00,287.47,288.09,288.09,"57,163,900"
TSLA,"Aug 25, 2022",302.36,302.96,291.60,296.07,296.07,"53,230,000"
TSLA,"Aug 24, 2022",297.56,303.65,296.50,297.10,297.10,"57,259,800"
TSLA,"Aug 23, 2022",291.45,298.83,287.92,296.45,296.45,"63,984,900"
TSLA,"Aug 22, 2022",291.91,292.40,286.30,289.91,289.91,"55,843,200"
TSLA,"Aug 19, 2022",299.00,300.36,292.50,296.67,296.67,"61,395,300"
TSLA,"Aug 18, 2022",306.00,306.50,301.85,302.87,302.87,"47,500,500"
TSLA,"Aug 17, 2022",303.40,309.66,300.03,304.00,304.00,"68,766,000"
TSLA,"Aug 16, 2022",311.67,314.67,302.88,306.56,306.56,"88,136,400"
TSLA,"Aug 15, 2022",301.79,313.13,301.23,309.32,309.32,"89,359,200"
TSLA,"Aug 12, 2022",289.42,300.16,285.03,300.03,300.03,"79,657,200"
TSLA,"Aug 11, 2022",296.51,298.24,285.83,286.63,286.63,"70,155,000"
TSLA,"Aug 10, 2022",297.07,297.51,283.37,294.36,294.36,"94,918,800"
TSLA,"Aug 9, 2022",290.29,292.40,279.35,283.33,283.33,"86,244,600"
TSLA,"Aug 8, 2022",295.00,305.20,289.09,290.42,290.42,"98,994,000"
TSLA,"Aug 5, 2022",302.67,304.61,285.54,288.17,288.17,"113,172,900"
TSLA,"Aug 4, 2022",311.00,313.61,305.00,308.63,308.63,"72,256,200"
TSLA,"Aug 3, 2022",305.00,309.55,301.15,307.40,307.40,"80,091,000"
TSLA,"Aug 2, 2022",294.00,307.83,292.67,300.59,300.59,"95,577,600"
TSLA,"Aug 1, 2022",301.28,311.88,295.00,297.28,297.28,"117,042,900"
TSLA,"Jul 29, 2022",280.70,298.32,279.10,297.15,297.15,"95,313,000"
TSLA,"Jul 28, 2022",280.07,283.30,272.80,280.90,280.90,"84,723,000"
TSLA,"Jul 27, 2022",263.81,275.93,261.79,274.82,274.82,"88,110,000"
TSLA,"Jul 26, 2022",266.51,267.31,256.26,258.86,258.86,"66,820,800"
TSLA,"Jul 25, 2022",272.22,274.15,267.40,268.43,268.43,"64,073,400"
TSLA,"Jul 22, 2022",276.22,280.79,270.71,272.24,272.24,"103,472,700"
TSLA,"Jul 21, 2022",255.11,273.27,254.87,271.71,271.71,"142,032,300"
TSLA,"Jul 20, 2022",246.78,250.66,243.48,247.50,247.50,"88,864,200"
TSLA,"Jul 19, 2022",245.00,247.14,236.98,245.53,245.53,"80,890,200"
TSLA,"Jul 18, 2022",244.94,250.52,239.60,240.55,240.55,"82,537,500"
TSLA,"Jul 15, 2022",240.00,243.62,236.89,240.07,240.07,"69,683,100"
TSLA,"Jul 14, 2022",234.90,238.65,229.33,238.31,238.31,"78,557,400"
TSLA,"Jul 13, 2022",225.50,242.06,225.03,237.04,237.04,"97,954,500"
TSLA,"Jul 12, 2022",236.85,239.77,228.37,233.07,233.07,"87,930,900"
TSLA,"Jul 11, 2022",252.10,253.06,233.63,234.34,234.34,"99,241,200"
TSLA,"Jul 8, 2022",242.33,254.98,241.16,250.76,250.76,"101,854,200"
TSLA,"Jul 7, 2022",233.92,245.36,232.21,244.54,244.54,"81,930,600"
TSLA,"Jul 6, 2022",230.78,234.56,227.19,231.73,231.73,"71,853,600"
TSLA,"Jul 5, 2022",223.00,233.15,216.17,233.07,233.07,"84,581,100"
TSLA,"Jul 1, 2022",227.00,230.23,222.12,227.26,227.26,"74,460,300"
TSLA,"Jun 30, 2022",224.51,229.46,218.86,224.47,224.47,"94,600,500"
TSLA,"Jun 29, 2022",230.50,231.17,222.27,228.49,228.49,"82,897,200"
TSLA,"Jun 28, 2022",244.48,249.97,232.34,232.66,232.66,"90,391,200"
TSLA,"Jun 27, 2022",249.37,252.07,242.57,244.92,244.92,"89,178,300"
TSLA,"Jun 24, 2022",237.47,246.07,236.09,245.71,245.71,"95,770,800"
TSLA,"Jun 23, 2022",237.91,239.32,228.64,235.07,235.07,"104,202,600"
TSLA,"Jun 22, 2022",234.50,246.83,233.83,236.09,236.09,"101,107,500"
TSLA,"Jun 21, 2022",224.60,243.58,224.33,237.04,237.04,"122,793,000"
TSLA,"Jun 17, 2022",213.43,220.97,213.20,216.76,216.76,"92,641,800"
TSLA,"Jun 16, 2022",222.74,225.17,208.69,213.10,213.10,"107,390,700"
TSLA,"Jun 15, 2022",220.92,235.66,218.15,233.00,233.00,"119,131,800"
TSLA,"Jun 14, 2022",218.29,226.33,211.74,220.89,220.89,"97,988,700"
TSLA,"Jun 13, 2022",223.17,226.63,214.68,215.74,215.74,"102,767,400"
TSLA,"Jun 10, 2022",235.16,239.50,227.91,232.23,232.23,"97,536,600"
TSLA,"Jun 9, 2022",249.34,255.55,239.33,239.71,239.71,"96,491,400"
TSLA,"Jun 8, 2022",240.09,249.96,239.18,241.87,241.87,"76,210,500"
TSLA,"Jun 7, 2022",234.00,240.00,230.09,238.89,238.89,"72,808,500"
TSLA,"Jun 6, 2022",244.35,244.87,234.35,238.28,238.28,"84,204,600"
TSLA,"Jun 3, 2022",243.23,247.80,233.42,234.52,234.52,"112,393,800"
TSLA,"Jun 2, 2022",244.16,264.21,242.07,258.33,258.33,"93,473,100"
TSLA,"Jun 1, 2022",251.72,257.33,243.64,246.79,246.79,"77,247,900"
TSLA,"May 31, 2022",257.95,259.60,244.74,252.75,252.75,"101,914,500"
TSLA,"May 27, 2022",241.08,253.27,240.18,253.21,253.21,"89,295,000"
TSLA,"May 26, 2022",220.47,239.56,217.89,235.91,235.91,"106,003,200"
TSLA,"May 25, 2022",207.95,223.11,207.67,219.60,219.60,"92,139,300"
TSLA,"May 24, 2022",217.84,217.97,206.86,209.39,209.39,"89,092,500"
TSLA,"May 23, 2022",218.34,226.65,212.69,224.97,224.97,"88,903,500"
TSLA,"May 20, 2022",238.00,240.53,211.00,221.30,221.30,"144,973,200"
TSLA,"May 19, 2022",235.67,244.67,231.37,236.47,236.47,"90,296,700"
TSLA,"May 18, 2022",248.17,253.50,233.60,236.60,236.60,"87,811,800"
TSLA,"May 17, 2022",249.12,254.83,242.95,253.87,253.87,"80,236,200"
TSLA,"May 16, 2022",255.72,256.59,239.70,241.46,241.46,"86,098,500"
TSLA,"May 13, 2022",257.83,262.45,250.52,256.53,256.53,"92,150,700"
TSLA,"May 12, 2022",233.67,253.22,226.67,242.67,242.67,"140,313,000"
TSLA,"May 11, 2022",265.00,269.92,242.40,244.67,244.67,"97,224,600"
TSLA,"May 10, 2022",273.10,275.12,258.08,266.68,266.68,"84,401,700"
TSLA,"May 9, 2022",278.82,281.88,260.38,262.37,262.37,"90,810,300"
TSLA,"May 6, 2022",295.67,296.00,281.04,288.55,288.55,"72,903,000"
TSLA,"May 5, 2022",313.01,315.20,285.90,291.09,291.09,"92,519,100"
TSLA,"May 4, 2022",301.31,318.50,295.09,317.54,317.54,"81,643,800"
TSLA,"May 3, 2022",301.06,308.03,296.20,303.08,303.08,"63,709,500"
TSLA,"May 2, 2022",286.92,302.12,282.68,300.98,300.98,"75,781,500"
TSLA,"Apr 29, 2022",300.75,311.47,290.00,290.25,290.25,"88,133,100"
TSLA,"Apr 28, 2022",299.99,300.00,273.90,292.50,292.50,"124,948,500"
TSLA,"Apr 27, 2022",299.53,306.00,292.45,293.84,293.84,"76,956,300"
TSLA,"Apr 26, 2022",331.81,333.33,291.67,292.14,292.14,"136,133,700"
TSLA,"Apr 25, 2022",326.32,336.21,325.10,332.67,332.67,"68,341,200"
TSLA,"Apr 22, 2022",338.30,344.95,331.33,335.02,335.02,"69,696,600"
TSLA,"Apr 21, 2022",358.24,364.07,332.14,336.26,336.26,"105,416,400"
TSLA,"Apr 20, 2022",343.33,344.67,325.08,325.73,325.73,"70,711,200"
TSLA,"Apr 19, 2022",335.02,344.98,331.78,342.72,342.72,"49,847,700"
TSLA,"Apr 18, 2022",329.68,338.31,324.47,334.76,334.76,"51,715,200"
TSLA,"Apr 14, 2022",333.10,337.57,327.40,328.33,328.33,"58,422,300"
TSLA,"Apr 13, 2022",327.03,342.08,324.37,340.79,340.79,"55,121,100"
TSLA,"Apr 12, 2022",332.55,340.40,325.53,328.98,328.98,"65,976,000"
TSLA,"Apr 11, 2022",326.80,336.16,324.88,325.31,325.31,"59,357,100"
TSLA,"Apr 8, 2022",347.74,349.48,340.81,341.83,341.83,"55,013,700"
TSLA,"Apr 7, 2022",350.80,358.86,340.51,352.42,352.42,"79,447,200"
TSLA,"Apr 6, 2022",357.82,359.67,342.57,348.59,348.59,"89,348,400"
TSLA,"Apr 5, 2022",378.77,384.29,362.43,363.75,363.75,"80,075,100"
TSLA,"Apr 4, 2022",363.13,383.30,357.51,381.82,381.82,"82,035,900"
TSLA,"Apr 1, 2022",360.38,364.92,355.55,361.53,361.53,"54,263,100"
TSLA,"Mar 31, 2022",364.86,367.71,358.88,359.20,359.20,"48,992,700"
